,year,country,5G,Cable Terrestrial,Commercial partnership,Data centre,Facial recognition,Investment or joint venture,Investor,Manufacturing facility,MoU-agreement,Overseas Office,R&D lab,Research partnership,Satellite calibration centre,Smart cities,Subsidiary,Surveillance equipment,Telecommunications or ICT,Training,Artificial Intelligence,Biotech,Chinese state loan,Surveillance,v2x_polyarchy,v2x_libdem,v2x_partipdem,v2smgovfilcap,v2smgovfilcap_ord,v2smgovfilprc,v2smgovfilprc_ord,v2smgovshutcap,v2smgovshutcap_ord,v2smgovshut,v2smgovsm_ord,v2smgovsmmon,v2smgovsmmon_ord,v2smgovsmcenprc,v2smgovsmcenprc_ord,v2smarrest,v2smarrest_ord,e_fh_cl,e_fh_pr,e_fh_rol,e_wbgi_cce,e_wbgi_gee,e_wbgi_pve,e_autoc,e_democ,e_p_polity,e_gdp,force_count,peaceful_count,intervention_count
23,2010,CL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.89,0.843,0.581,1.573,3.0,1.782,4.0,-0.818,2.0,1.893,4.0,1.685,4.0,2.027,4.0,2.059,3.0,1.0,1.0,15.0,1.442,1.164,0.68,0.0,10.0,10.0,35978.055,0.0,0.0,0.0
24,2010,CM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.317,0.153,0.167,0.509,2.0,0.935,3.0,0.852,4.0,0.231,3.0,-0.605,2.0,-0.874,3.0,-0.82,1.0,6.0,6.0,2.0,-1.075,-0.9,-0.737,5.0,1.0,-4.0,5463.88,0.0,2.0,2.0
25,2010,CN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.095,0.052,0.05,1.51,3.0,-2.557,0.0,1.629,4.0,-1.52,2.0,-2.764,0.0,-2.22,2.0,-1.827,0.0,6.0,7.0,2.0,-0.57,0.079,-0.657,7.0,0.0,-7.0,1456624.15,0.0,0.0,0.0
26,2010,CO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.617,0.494,0.415,-0.15,2.0,1.162,4.0,-1.013,2.0,1.881,4.0,-0.428,2.0,0.675,4.0,1.305,3.0,4.0,3.0,7.0,-0.423,-0.121,-1.537,0.0,7.0,7.0,53808.009,0.0,0.0,0.0
27,2010,CR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.912,0.863,0.701,-1.357,1.0,1.192,4.0,-0.73,2.0,1.83,4.0,2.387,4.0,1.091,4.0,1.887,3.0,1.0,1.0,13.0,0.664,0.297,0.692,0.0,10.0,10.0,6589.271,0.0,0.0,0.0
28,2010,CV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.784,0.704,0.481,-1.151,1.0,1.619,4.0,-1.301,1.0,0.706,4.0,2.127,4.0,1.15,4.0,1.898,3.0,1.0,1.0,14.0,0.877,-0.101,0.841,0.0,10.0,10.0,306.182,0.0,0.0,0.0
29,2010,CY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.841,0.727,0.571,-1.905,1.0,2.067,4.0,-1.671,1.0,1.922,4.0,2.422,4.0,2.075,4.0,2.709,3.0,1.0,1.0,15.0,0.969,1.526,0.452,0.0,10.0,10.0,3076.009,0.0,0.0,0.0
30,2010,CZ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.889,0.816,0.614,-1.952,1.0,1.918,4.0,-2.585,0.0,1.849,4.0,2.389,4.0,2.211,4.0,2.555,3.0,1.0,1.0,14.0,0.385,0.907,0.989,0.0,9.0,9.0,32429.16,0.0,0.0,0.0
31,2010,DE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.903,0.869,0.656,0.173,2.0,1.301,4.0,-0.182,3.0,1.844,4.0,1.186,3.0,0.937,4.0,2.577,3.0,1.0,1.0,15.0,1.766,1.515,0.797,0.0,10.0,10.0,347099.417,0.0,0.0,0.0
32,2010,DJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.247,0.117,0.137,-1.119,1.0,-1.14,2.0,-0.664,2.0,-0.804,3.0,-1.173,1.0,-1.506,2.0,-1.277,1.0,5.0,6.0,5.0,-0.402,-1.007,0.253,1.0,3.0,2.0,263.125,0.0,2.0,0.0
33,2010,DK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.922,0.898,0.719,-0.799,1.0,2.365,4.0,0.918,4.0,1.8,4.0,2.072,4.0,1.633,4.0,2.571,3.0,1.0,1.0,14.0,2.352,2.1,1.041,0.0,10.0,10.0,25299.162,0.0,0.0,0.0
34,2010,DZ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.325,0.165,0.145,1.429,3.0,-0.99,2.0,2.105,4.0,-0.856,3.0,-1.659,1.0,-0.719,3.0,-1.028,1.0,5.0,6.0,5.0,-0.552,-0.388,-1.259,1.0,3.0,2.0,46140.01,0.0,7.0,1.0
35,2010,EC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.599,0.322,0.425,-0.604,1.0,-1.207,2.0,-0.969,2.0,0.778,4.0,-0.959,2.0,-1.252,2.0,-0.26,1.0,3.0,3.0,6.0,-0.708,-0.675,-0.587,0.0,5.0,5.0,14176.671,0.0,0.0,0.0
36,2010,EG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.209,0.146,0.076,0.629,2.0,-2.086,1.0,-0.425,2.0,0.056,2.0,-1.916,1.0,-1.79,2.0,-1.78,1.0,5.0,6.0,4.0,-0.597,-0.315,-0.898,4.0,1.0,-3.0,68775.76,0.0,32.0,14.0
37,2010,ER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.067,0.006,0.008,-1.408,1.0,-1.893,1.0,1.148,4.0,-2.629,2.0,-1.815,1.0,-2.372,1.0,-2.991,0.0,7.0,7.0,0.0,-0.551,-1.395,-0.876,7.0,0.0,-7.0,6705.029,0.0,0.0,0.0
38,2010,ES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.891,0.824,0.65,0.96,3.0,1.999,4.0,0.784,4.0,2.002,4.0,2.342,4.0,1.419,4.0,2.807,3.0,1.0,1.0,14.0,1.16,0.943,-0.318,0.0,10.0,10.0,162579.437,0.0,0.0,0.0
39,2010,ET,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.227,0.109,0.089,-0.298,2.0,-2.014,1.0,1.694,4.0,-1.505,2.0,-0.856,2.0,-1.491,2.0,-1.266,1.0,6.0,6.0,4.0,-0.694,-0.482,-1.635,4.0,1.0,-3.0,10383.184,0.0,3.0,1.0
40,2010,FI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.879,0.84,0.627,-1.083,1.0,2.292,4.0,-1.03,2.0,1.732,4.0,1.337,3.0,1.888,4.0,2.523,3.0,1.0,1.0,16.0,2.152,2.224,1.424,0.0,10.0,10.0,21820.957,0.0,0.0,0.0
41,2010,FJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.136,0.107,0.083,-0.492,1.0,0.651,3.0,-1.489,1.0,0.156,4.0,-1.054,2.0,0.069,3.0,-0.282,1.0,4.0,6.0,6.0,-0.16,-0.916,-0.191,4.0,0.0,-4.0,688.906,0.0,0.0,0.0
42,2010,FR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.886,0.816,0.658,1.202,3.0,1.232,4.0,-0.68,2.0,1.194,4.0,1.441,3.0,0.826,4.0,1.221,2.0,1.0,1.0,14.0,1.488,1.462,0.681,0.0,10.0,10.0,258946.294,0.0,0.0,0.0
43,2010,GB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.87,0.808,0.613,0.656,2.0,2.03,4.0,-0.99,2.0,1.766,4.0,0.972,3.0,0.99,4.0,0.959,2.0,1.0,1.0,15.0,1.606,1.618,0.412,0.0,10.0,10.0,245470.574,0.0,0.0,0.0
44,2010,GE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.496,0.344,0.324,-0.577,1.0,2.13,4.0,-0.75,2.0,1.957,4.0,0.579,3.0,1.819,4.0,1.364,3.0,3.0,4.0,7.0,0.012,0.336,-0.718,1.0,7.0,6.0,3645.421,0.0,0.0,0.0
45,2010,GH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.769,0.673,0.408,0.633,2.0,1.664,4.0,-0.268,3.0,1.336,4.0,1.63,4.0,1.946,4.0,1.574,3.0,2.0,1.0,12.0,0.014,-0.105,0.026,0.0,8.0,8.0,10186.872,0.0,6.0,0.0
46,2010,GR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.896,0.806,0.606,-0.113,2.0,1.085,3.0,-0.119,3.0,1.794,4.0,2.046,4.0,1.681,4.0,2.445,3.0,2.0,1.0,11.0,-0.063,0.493,-0.127,0.0,10.0,10.0,32781.24,0.0,0.0,0.0
47,2010,GT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.586,0.409,0.351,-1.561,1.0,1.831,4.0,-1.643,1.0,1.026,4.0,0.341,3.0,2.15,4.0,1.605,3.0,4.0,4.0,6.0,-0.541,-0.723,-0.853,0.0,8.0,8.0,9531.68,0.0,0.0,0.0
48,2010,GY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.587,0.381,0.354,-0.639,1.0,1.403,4.0,-0.231,3.0,1.714,4.0,-0.24,2.0,0.92,4.0,1.215,2.0,3.0,2.0,7.0,-0.562,-0.122,-0.459,0.0,6.0,6.0,673.757,0.0,0.0,0.0
