country_name,year,v2x_polyarchy,v2x_libdem,v2x_partipdem,v2smgovfilcap,v2smgovfilcap_ord,v2smgovfilprc,v2smgovfilprc_ord,v2smgovshutcap,v2smgovshutcap_ord,v2smgovshut,v2smgovsm_ord,v2smgovsmmon,v2smgovsmmon_ord,v2smgovsmcenprc,v2smgovsmcenprc_ord,v2smarrest,v2smarrest_ord,e_fh_cl,e_fh_pr,e_fh_rol,e_wbgi_cce,e_wbgi_gee,e_wbgi_pve,e_autoc,e_democ,e_p_polity,e_gdp,e_pop
Mali,2021,0.246,0.161,0.177,-0.158,2,-0.296,3,0.927,4,-1.309,2,-0.625,2,-0.148,3,-1.212,1,5,6,4,-0.867,-1.223,-2.352,1,6,5,5072.011,2076.653
Malta,2021,0.779,0.64,0.56,-0.99,1,1.444,4,-1.067,1,1.652,4,-0.009,3,1.815,4,1.605,3,1,2,15,0.318,0.893,0.973,,,,2036.381,50.455
Mauritania,2021,0.388,0.167,0.257,0.143,2,0.187,3,1.541,4,0.644,4,-1.481,1,-0.226,3,-1.128,1,5,5,4,-0.821,-0.734,-0.67,2,0,-2,1742.103,462.712
Mauritius,2021,0.546,0.435,0.352,1.798,3,0.236,3,0.439,4,1.226,4,-1.299,1,-0.569,3,-1.023,1,2,1,13,0.468,0.849,0.856,0,10,10,3401.85,136.154
Mexico,2021,0.617,0.371,0.381,-0.311,2,2.245,4,-1.579,1,1.791,4,0.4,3,0.925,4,0.954,2,4,3,5,-1.002,-0.312,-0.637,0,8,8,224999.494,13388.489
Moldova,2021,0.745,0.616,0.515,0.594,2,0.551,3,-0.68,2,1.725,4,1.126,3,1.729,4,1.328,3,3,3,6,-0.448,-0.405,-0.206,0,9,9,2943.867,356.044
Mongolia,2021,0.626,0.491,0.334,0.317,2,1.479,4,-0.838,2,1.625,4,1.393,3,1.151,4,0.911,2,2,1,11,-0.529,-0.467,0.654,0,10,10,3206.326,344.11
Montenegro,2021,0.507,0.41,0.305,-0.567,1,1.866,4,-1.742,1,1.694,4,-0.266,2,0.987,4,0.677,2,3,3,9,-0.02,0.006,-0.149,0,9,9,1130.395,67.955
Morocco,2021,0.264,0.24,0.162,1.012,3,-0.665,2,0.255,3,-1.056,2,-0.89,2,-0.689,3,-1.001,1,5,5,5,-0.434,-0.067,-0.396,5,1,-4,30708.605,3846.146
Mozambique,2021,0.357,0.237,0.24,-0.725,1,1.155,4,1.313,4,1.836,4,0.521,3,0.926,4,0.536,2,4,5,6,-0.812,-0.765,-1.228,1,6,5,4902.178,3043.188
Myanmar,2021,0.107,0.05,0.099,1.757,3,-1.344,2,1.991,4,-2.556,1,-2.188,1,-2.963,1,-2.92,0,6,7,1,-1.028,-1.41,-2.066,0,8,8,32603.621,5730.342
Namibia,2021,0.638,0.513,0.383,0.393,2,1.873,4,2.131,4,1.341,4,-0.249,2,1.272,4,1.187,2,2,2,11,0.259,0.059,0.548,0,6,6,2464.735,264.305
Nepal,2021,0.605,0.478,0.39,0.571,2,-0.348,2,-0.229,3,-0.255,3,-0.21,2,-1.15,2,-0.522,1,4,3,6,-0.531,-0.872,-0.243,1,8,7,8372.969,3063.17
Netherlands,2021,0.863,0.81,0.589,-0.151,2,2.307,4,-1.025,2,1.828,4,1.167,3,2.151,4,1.636,3,1,1,15,2.036,1.767,0.915,0,10,10,90864.145,1838.391
New Zealand,2021,0.883,0.827,0.679,0.767,2,1.105,3,0.7,4,1.74,4,0.634,3,1.516,4,2.483,3,1,1,15,2.202,1.351,1.439,0,10,10,19529.561,514.683
Nicaragua,2021,0.201,0.037,0.121,2.148,3,-3.159,0,0.286,3,-1.224,2,-2.273,1,-2.309,2,-2.57,0,5,7,3,-1.236,-0.852,-0.467,1,7,6,3285.6,686.283
Niger,2021,0.528,0.398,0.338,-0.889,1,-0.549,2,0.291,3,-0.454,3,0.415,3,0.06,3,-1.006,1,4,4,6,-0.547,-0.615,-1.616,1,6,5,2851.615,2393.048
Nigeria,2021,0.493,0.329,0.331,0.372,2,-0.711,2,-0.374,2,1.015,4,-0.895,2,0.317,3,-1.115,1,5,4,4,-1.07,-0.996,-1.779,1,8,7,86510.406,20939.444
North Korea,2021,0.086,0.014,0.045,2.628,3,-3.898,0,2.131,4,-4.169,0,-3.702,0,-4.901,0,-2.949,0,7,7,0,-1.605,-1.557,-0.453,10,0,-10,4873.972,2717.578
Norway,2021,0.901,0.86,0.646,-0.819,1,2.383,4,-0.893,2,1.579,4,2.073,4,2.016,4,2.629,3,1,1,16,2.141,1.839,1.104,0,10,10,32106.604,567.345
Oman,2021,0.172,0.138,0.124,0.98,3,-2.094,1,1.236,4,-0.55,3,-1.788,1,-1.357,2,-1.693,1,5,6,4,0.086,-0.118,0.507,8,0,-8,11326.061,521.546
Pakistan,2021,0.404,0.266,0.264,0.92,3,-1.348,2,1.805,4,-0.341,3,-1.299,1,-0.491,3,-0.242,2,5,5,4,-0.786,-0.403,-1.667,0,7,7,103529.067,22700.527
Panama,2021,0.738,0.552,0.444,-0.137,2,0.923,3,-0.738,2,1.76,4,1.338,3,1.504,4,1.644,3,2,2,10,-0.571,0.159,0.286,0,9,9,10994.848,440.343
Papua New Guinea,2021,0.434,0.342,0.267,-1.598,1,1.653,4,-0.944,2,1.282,4,0.722,3,1.216,4,1.744,3,3,4,7,-0.756,-0.887,-0.582,0,5,5,3688.152,914.875
Paraguay,2021,0.581,0.43,0.358,-2.421,0,2.051,4,-2.039,0,1.476,4,1.824,4,1.753,4,1.064,2,3,3,7,-1.007,-0.623,-0.003,0,9,9,7186.629,750.296
Peru,2021,0.771,0.661,0.546,-0.613,1,1.865,4,-1.133,1,1.401,4,2.075,4,1.511,4,2.168,3,3,2,8,-0.633,-0.261,-0.406,0,9,9,37253.842,3407.644
Philippines,2021,0.436,0.28,0.289,-0.83,1,0.472,3,-1.363,1,-0.206,3,-1.336,1,0.256,3,-0.635,1,4,3,3,-0.509,0.07,-0.929,0,8,8,87028.572,11530.039
Poland,2021,0.583,0.425,0.364,-0.717,1,1.703,4,-0.646,2,1.835,4,0.776,3,1.654,4,1.4,3,2,2,11,0.572,0.293,0.512,0,10,10,111227.209,4079.4
Portugal,2021,0.888,0.813,0.617,-0.909,1,2.42,4,-1.377,1,1.928,4,2.719,4,2.257,4,2.967,3,1,1,14,0.769,0.991,0.953,0,10,10,31609.988,1097.676
Qatar,2021,0.09,0.086,0.023,2.313,3,-1.923,1,2.025,4,-0.767,3,-3.138,0,-1.61,2,-1.961,0,5,6,5,0.806,1.114,0.958,10,0,-10,23733.401,296.09
Romania,2021,0.768,0.611,0.583,-0.02,2,1.564,4,-1.425,1,1.013,4,1.053,3,1.549,4,1.453,3,2,2,12,-0.038,-0.13,0.533,0,9,9,41177.59,2091.157
Russia,2021,0.252,0.102,0.164,1.915,3,-0.654,2,0.326,3,-0.111,4,-1.545,1,-0.993,3,-0.911,1,6,7,2,-0.9,-0.176,-0.645,1,5,4,397041.955,15515.88
Rwanda,2021,0.235,0.119,0.175,1.906,3,-1.566,1,0.357,4,0.69,3,-1.792,1,-1.419,2,-1.303,1,6,6,2,0.599,0.261,0.17,3,0,-3,3062.056,1316.424
Saudi Arabia,2021,0.016,0.044,0.02,2.401,3,-2.642,0,0.972,4,-1.325,2,-3.385,0,-1.261,2,-1.977,0,7,7,2,0.307,0.496,-0.584,10,0,-10,121988.73,3669.587
Senegal,2021,0.718,0.566,0.399,1.203,3,0.818,3,-0.156,3,1.307,4,-0.23,2,0.721,4,-0.746,1,3,3,9,0.058,0.059,-0.17,0,7,7,5487.269,1712.323
Serbia,2021,0.348,0.243,0.234,-0.112,2,0.548,3,-0.836,2,1.306,4,-0.343,2,0.587,4,0.439,2,3,4,9,-0.437,0.047,-0.134,1,9,8,10717.381,759.691
Seychelles,2021,0.714,0.64,0.3,0.359,2,0.66,3,0.929,4,1.002,4,0.614,3,1.359,4,0.512,2,2,2,11,1.633,0.942,0.761,,,,306.262,10.442
Sierra Leone,2021,0.556,0.426,0.374,-0.881,1,0.93,3,0.994,4,0.369,4,0.948,3,0.82,4,0.212,2,3,3,9,-0.431,-1.115,-0.165,1,8,7,1327.129,793.753
Singapore,2021,0.39,0.345,0.124,1.863,3,-0.433,2,2.254,4,1.387,4,-0.693,2,-0.649,3,-0.981,1,4,4,7,2.172,2.291,1.493,4,2,-2,44333.702,615.872
Slovakia,2021,0.856,0.778,0.62,-1.743,1,1.574,4,-2.558,0,1.988,4,2.356,4,2.22,4,2.088,3,1,1,12,0.235,0.529,0.56,0,10,10,17931.699,580.127
Slovenia,2021,0.702,0.599,0.501,-1.227,1,2.295,4,-2.038,0,1.821,4,1.425,3,2.029,4,1.921,3,2,1,15,0.719,1.178,0.76,0,10,10,7913.769,222.53
Solomon Islands,2021,0.622,0.475,0.37,-1.669,1,1.735,4,-2.096,0,1.053,4,1.163,3,0.51,4,1.672,3,2,2,11,-0.141,-0.912,0.491,1,9,8,173.308,69.323
South Africa,2021,0.702,0.582,0.438,0.106,2,1.507,4,-0.002,3,0.882,4,0.821,3,2.016,4,1.265,2,2,2,9,0.022,-0.017,-0.707,0,9,9,69786.212,6154.156
South Korea,2021,0.863,0.788,0.596,1.643,3,1.252,4,1.204,4,1.957,4,1.566,4,1.709,4,2.376,3,2,2,12,0.76,1.406,0.663,0,8,8,224102.992,5470.789
Spain,2021,0.854,0.779,0.605,0.759,2,1.73,4,1.073,4,2.002,4,1.503,4,1.422,4,2.268,3,1,1,13,0.742,0.947,0.579,0,10,10,181566.361,5033.334
Sri Lanka,2021,0.561,0.382,0.335,0.313,2,-0.341,2,1.047,4,0.503,4,-0.545,2,-0.069,3,-0.208,2,4,4,8,-0.335,-0.083,-0.318,1,7,6,28869.858,2297.473
Sudan,2021,0.169,0.074,0.08,0.409,2,-2.05,1,-0.036,3,-2.65,1,-1.358,1,-0.85,3,-1.025,1,6,7,1,-1.29,-1.637,-1.935,4,0,-4,23263.694,4664.791
Sweden,2021,0.903,0.871,0.65,-0.604,1,2.161,4,-1.37,1,1.868,4,2.926,4,2.116,4,1.764,3,1,1,16,2.13,1.652,1.034,0,10,10,52524.083,1077.02
